Fri Aug 28 2015 20:54:47 GMT+0800 (China Standard Time),,s1w83,focus,
Fri Aug 28 2015 20:54:48 GMT+0800 (China Standard Time),,s1w84,focus,
Fri Aug 28 2015 20:54:49 GMT+0800 (China Standard Time),,s1w85,focus,
Fri Aug 28 2015 20:54:49 GMT+0800 (China Standard Time),,s1w86,focus,
Fri Aug 28 2015 20:54:50 GMT+0800 (China Standard Time),,s1w87,focus,
Fri Aug 28 2015 20:54:50 GMT+0800 (China Standard Time),,s1w88,focus,
Fri Aug 28 2015 20:54:51 GMT+0800 (China Standard Time),,s1w89,focus,
Fri Aug 28 2015 20:54:51 GMT+0800 (China Standard Time),,s1w90,focus,
Fri Aug 28 2015 20:54:51 GMT+0800 (China Standard Time),,s1w91,focus,
Fri Aug 28 2015 20:54:52 GMT+0800 (China Standard Time),,s1w92,focus,
Fri Aug 28 2015 20:54:53 GMT+0800 (China Standard Time),,s1w93,focus,
Fri Aug 28 2015 20:54:53 GMT+0800 (China Standard Time),,s1w94,focus,
Fri Aug 28 2015 20:54:53 GMT+0800 (China Standard Time),,s1w95,focus,
Fri Aug 28 2015 20:54:53 GMT+0800 (China Standard Time),,s1w96,focus,
Fri Aug 28 2015 20:54:54 GMT+0800 (China Standard Time),,s1w97,focus,
Fri Aug 28 2015 20:54:54 GMT+0800 (China Standard Time),,s1w98,focus,
Fri Aug 28 2015 20:54:54 GMT+0800 (China Standard Time),,s1w99,focus,
Fri Aug 28 2015 20:54:55 GMT+0800 (China Standard Time),,s1w100,focus,
Fri Aug 28 2015 20:54:55 GMT+0800 (China Standard Time),,s1w101,focus,
Fri Aug 28 2015 20:54:55 GMT+0800 (China Standard Time),,s1w102,focus,
Fri Aug 28 2015 20:54:55 GMT+0800 (China Standard Time),,s1w103,focus,
Fri Aug 28 2015 20:54:56 GMT+0800 (China Standard Time),,s1w104,focus,
Fri Aug 28 2015 20:54:56 GMT+0800 (China Standard Time),,s1w105,focus,
Fri Aug 28 2015 20:54:56 GMT+0800 (China Standard Time),,s1w106,focus,
Fri Aug 28 2015 20:54:56 GMT+0800 (China Standard Time),,s1w107,focus,
Fri Aug 28 2015 20:54:58 GMT+0800 (China Standard Time),,s1w107,label,"^"
Fri Aug 28 2015 20:54:58 GMT+0800 (China Standard Time),,s1w108,focus,
Fri Aug 28 2015 20:54:58 GMT+0800 (China Standard Time),,s1w109,focus,
Fri Aug 28 2015 20:54:59 GMT+0800 (China Standard Time),,s1w110,focus,
Fri Aug 28 2015 20:55:00 GMT+0800 (China Standard Time),,s1w111,focus,
